,rndLatitude,rndLongitude,Closest City,Country,Temperature,Humidity,Cloud Coverage,Wind Speed,cityLon,cityLat
202,43.25039853997629,27.511954925634058,provadija,bg,65.55,100,0,2.24,27.4405725,43.177032
203,-72.03489051576395,-23.190516087917928,ushuaia,ar,39.2,60,40,4.7,-68.31,-54.81
204,-51.51116179499165,147.11990497875638,hobart,au,51.8,57,75,13.87,147.33,-42.88
205,18.03017616372071,93.8737949679483,myanaung,mm,80.31,98,76,7.43,95.32,18.28
206,-57.423398920536215,64.59943496448008,taolanaro,mg,66.2,59,40,11.41,46.9853688,-25.0225309
207,18.39016842939938,24.003429511104542,kutum,sd,80.85,45,32,14.7,24.66,14.2
208,15.637540823331378,-103.56980780607931,lazaro cardenas,mx,98.6,18,40,6.93,-105.62,28.39
209,11.126224745740842,87.53976901503762,port blair,in,81.57,100,76,19.84,92.75,11.67
210,-71.69542259870013,-160.35916506917556,mataura,pf,72.75,100,44,7.99,-149.4850445,-23.3470634
211,0.1152004778224125,-46.22384634696485,augusto correa,br,77.43,86,0,6.76,-46.63,-1.02
212,32.11948280677292,10.85540646044899,nalut,ly,71.94,40,0,3.18,10.98,31.86
213,69.19195406470618,-169.5945929850706,lavrentiya,ru,45.21,91,92,4.63,-170.99,65.58
214,-75.1001772868429,-108.05318959718895,punta arenas,cl,39.2,95,75,16.11,-70.91,-53.16
215,72.82094376580312,-15.661392330642883,illoqqortoormiut,gl,34.59,81,0,10.78,-21.9628757,70.48556909999999
216,-16.37453341690322,-172.35121455143886,hihifo,to,79.59,100,8,16.93,-173.7955818,-15.9528061
217,1.7372657881495712,-103.75224954530123,puerto ayora,ec,70.95,100,20,13.02,-90.35,-0.74
218,2.4416783366330463,48.482392102564205,hobyo,so,74.01,80,0,18.28,48.53,5.35
219,64.23623481228111,166.33803903508158,kamenskoye,ru,71.49,71,0,4.07,166.211243,62.46661
220,3.2544166887086305,-64.11929373901599,boa vista,br,77.0,88,75,5.82,-60.67,2.82
221,-56.6021802073167,70.9691529852345,saint-philippe,re,67.17,59,0,8.05,55.77,-21.36
222,15.424236684104955,75.088750413002,hubli,in,72.12,99,92,14.25,75.17,15.35
223,-84.50567853269494,-152.9373946831082,mataura,pf,72.75,100,44,7.99,-149.4850445,-23.3470634
224,-1.6212426055190292,50.61704132438226,victoria,sc,77.0,73,20,4.7,55.45,-4.62
225,-11.696255331240721,40.14719939751484,namikupa,tz,63.12,91,32,7.99,39.6,-10.83
226,55.531876498829746,-56.357077763123,saint anthony,ca,86.68,37,1,12.75,-118.0912568,34.0749249
227,-54.55036630895622,-167.27671859378884,avarua,ck,78.8,78,75,3.36,-159.78,-21.21
228,4.2743404014163815,-61.46423770902868,boa vista,br,77.0,88,75,5.82,-60.67,2.82
229,-1.4259060192869129,119.57401680826325,palu,id,77.97,70,12,2.17,119.87,-0.9
230,-17.064291637965596,156.9258200863099,poum,nc,72.57,100,0,15.26,164.02,-20.23
